,0,1
0_RfR 0,1.0,1.0
0_RfR 1,0.0,0.0
0_RfR 2,0.0,0.0
1_RfR 0,1.0,1.0
1_RfR 1,1.0,1.0
1_RfR 2,1.0,1.0
2_RfR 0,1.0,1.0
2_RfR 1,1.0,1.0
2_RfR 2,1.0,1.0
3_RfR 0,1.0,1.0
3_RfR 1,1.0,1.0
3_RfR 2,1.0,1.0
4_RfR 0,1.0,1.0
4_RfR 1,1.0,1.0
4_RfR 2,1.0,1.0
EWS_DaysToThreat,3.0,3.0
A.1_DikeIncrease 0,0.0,0.0
A.1_DikeIncrease 1,0.0,0.0
A.1_DikeIncrease 2,0.0,0.0
A.2_DikeIncrease 0,0.0,0.0
A.2_DikeIncrease 1,0.0,0.0
A.2_DikeIncrease 2,0.0,0.0
A.3_DikeIncrease 0,2.0,0.0
A.3_DikeIncrease 1,0.0,0.0
A.3_DikeIncrease 2,0.0,0.0
A.4_DikeIncrease 0,0.0,0.0
A.4_DikeIncrease 1,0.0,0.0
A.4_DikeIncrease 2,0.0,0.0
A.5_DikeIncrease 0,0.0,0.0
A.5_DikeIncrease 1,0.0,0.0
A.5_DikeIncrease 2,0.0,0.0
Expected Number of Deaths,0.008164795660640402,0.01827857370769055
Dike Investment Costs,22167818.198803753,0.0
